APOGEE_ID,GC_NAME,dPOS,SNREV,TEFF,LOGG_SPEC,STARFLAG,ASPCAPFLAG,VB_PROB,FE_H,FE_H_ERR,FE_H_FLAG,MG_FE,MG_FE_ERR,MG_FE_FLAG,SI_FE,SI_FE_ERR,SI_FE_FLAG,CA_FE,CA_FE_ERR,CA_FE_FLAG,C_FE,C_FE_ERR,C_FE_FLAG,AL_FE,AL_FE_ERR,AL_FE_FLAG,K_FE,K_FE_ERR,K_FE_FLAG,MN_FE,MN_FE_ERR,MN_FE_FLAG,DENSITY
b'2M17024979-2613193',NGC6273,0.24106053730781682,83.98691,4833.6167,1.4816,0,0,0.9991,-1.7528,0.018963743,0,0.144853,0.042562667,0,0.24687064,0.045312244,0,0.51073503,0.07268434,0,-0.068099976,0.08573349,0,0.43178093,0.049624264,0,0.50335896,0.12130295,0,0.05690193,0.07084897,0,0.20600545602774845
b'2M10164311-4619323',NGC3201,0.19144359661059546,139.19911,5092.0815,2.4227,0,640,1.0,-1.3226,0.0123878,0,0.149387,0.027616197,0,0.1435306,0.030190565,0,0.31019497,0.042394012,0,-0.09985995,0.05668986,0,0.281031,0.032527823,0,0.36725903,0.081961565,0,-0.068797946,0.04241883,0,0.20628087767490064
b'2M18552216-3027527',NGC6715,0.11229215930856785,110.847,4152.506,1.2658,0,0,0.99961,-0.32641,0.013239599,0,-0.03508401,0.017437615,0,-0.07938641,0.02070629,0,0.007396996,0.022575587,0,-0.28864998,0.016700177,0,-0.40196902,0.03418907,0,-0.083051026,0.053217743,0,-0.085197985,0.023407228,0,0.2065865948319269
b'2M19394319-3056519',NGC6809,0.11187293490115455,274.83325,4769.488,1.2581,0,0,0.99997,-1.6368,0.011109749,0,0.10537112,0.024709253,0,0.22923064,0.02455464,0,0.049287915,0.035743292,0,-0.5625498,0.041456692,0,0.7975811,0.02489894,0,-0.016040921,0.07194217,0,-0.4722979,0.037224587,0,0.20724945611094509
b'2M18364955-2406088',NGC6656,0.16849374437455975,175.8154,4965.6973,1.9283,0,64,0.9999399999999999,-1.7053,0.012307032,0,0.29353297,0.030152068,0,0.26673055,0.030090803,0,0.51330495,0.046562564,0,0.10066998,0.062191024,0,-0.26131904,0.029006107,0,0.58155894,0.08661959,0,-0.36429822,0.047117796,0,0.20749944351420135
b'2M16234090-2624169',NGC6121,0.07797828471557437,177.7555,5086.957,2.9511,0,0,0.9999899999999999,-1.014,0.0095599685,0,0.36339307,0.019831104,0,0.32896066,0.021959562,0,0.3611951,0.027811963,0,0.06373608,0.035781164,0,0.38665104,0.024485279,0,0.35022908,0.060547765,0,-0.317598,0.028619872,0,0.2078046179715398
b'2M13251351-4720398',NGC5139,0.13859446520550311,98.918686,4914.909,1.8586,0,704,0.9999600000000001,-1.65,0.017202243,0,0.41478288,0.03945423,0,0.19319057,0.04192372,0,0.47208488,0.0661928,0,0.19756997,0.08227886,0,-0.2760191,0.044852763,0,0.18005896,0.11304826,0,0.0009019375,0.06476827,0,0.20822724693226907
b'2M09112600-6453371',NGC2808,0.07653710351893149,101.379555,4724.036,1.4727,0,0,0.9999899999999999,-1.0971,0.015194758,0,0.12084401,0.028197838,0,0.15971065,0.031844188,0,0.08219504,0.04283769,0,-0.5936899,0.0435286,0,-0.27771902,0.040254492,0,0.318969,0.08401847,0,-0.21299803,0.043209784,0,0.20835636421417258
b'2M00254556-7200404',NGC0104,0.0938781570013647,181.22845,4618.883,2.0007,0,0,0.9999899999999999,-0.82265,0.010051353,0,0.36326304,0.017256314,0,0.28888065,0.019020393,0,0.23419505,0.02276792,0,0.024774015,0.021639163,0,0.273261,0.024158275,0,0.20342904,0.05280035,0,-0.22634798,0.024025166,0,0.20850268170262723
b'2M09123679-6451449',NGC2808,0.06321964566486853,105.12437,4858.545,1.875,0,0,1.0,-0.97771,0.013743537,0,-0.31044698,0.025410062,0,0.28764057,0.029470406,0,0.278705,0.037897877,0,-0.43984008,0.04082837,0,1.0778811,0.037598997,0,0.392569,0.076921284,0,-0.19898796,0.038191278,0,0.2100602521343511
